53619,100,00,-,-,-,-,0,00,0,00,100,00,0,00,0,00 %
A2E2,4.750,00,-,-,-,-,4.750,00,4.750,00,4.750,00,142.500,00,86,78 %
A2E2D,40,50,-,-,-,-,43,00,40,50,38,25,22.131,50,86,78 %
A2E3,3.350,00,-,-,-,-,0,00,0,00,3.350,00,0,00,76,99 %
A2E3D,29,10,-,-,-,-,29,10,29,10,29,10,0,00,76,99 %
A2E7,4.100,00,-,-,-,-,4.300,00,4.100,00,4.380,93,99.191.997,50,32,16 %
A2E7D,36,50,-,-,-,-,37,40,36,50,33,80,110.993,00,32,16 %
A2E8,3.500,00,-,-,-,-,3.500,00,3.500,00,3.500,00,0,00,28,11 %
A2E8D,36,00,-,-,-,-,36,00,36,00,36,00,0,00,28,11 %
A2J9D,103,05,-,-,-,-,103,05,102,70,103,05,0,00,0,00 %
A2M2,199,50,-,-,-,-,210,00,192,00,199,50,0,00,0,00 %
AA21,4.364,00,-,-,-,-,4.382,50,4.364,00,4.364,00,0,00,121,92 %
AA21D,52,00,-,-,-,-,0,00,0,00,52,00,0,00,121,92 %
AA22,82,75,-,-,-,-,83,30,82,00,82,75,15.970.716,08,146,89 %
AA25,3.650,00,-,-,-,-,3.650,00,3.520,00,3.650,00,21.533.673,03,51,76 %
AA25D,31,55,-,-,-,-,31,55,30,00,31,55,287.620,48,51,76 %
AA26,2.830,00,-,-,-,-,0,00,0,00,2.830,00,0,00,47,90 %
AA26D,26,00,-,-,-,-,0,00,0,00,26,00,0,00,0,00 %
AA37,3.190,00,-,-,-,-,3.360,00,3.120,00,3.124,40,11.844.975,87,30,69 %
AA37D,27,70,-,-,-,-,28,50,27,20,27,70,470.766,83,30,69 %
AA46,3.150,00,-,-,-,-,0,00,0,00,3.150,00,0,00,27,44 %
AA46D,30,25,-,-,-,-,0,00,0,00,30,25,0,00,27,44 %
AC17,3.900,00,-,-,-,-,3.925,00,3.800,00,3.900,00,22.491.395,00,24,06 %
AC17D,33,75,-,-,-,-,34,50,33,10,33,75,258.848,10,24,06 %
AE48,3.850,00,-,-,-,-,0,00,0,00,3.850,00,0,00,0,00 %
AE48D,28,00,-,-,-,-,28,00,28,00,28,00,0,00,0,00 %
AF20,4.540,00,-,-,-,-,4.600,00,4.475,00,4.367,52,17.308.184,20,0,00 %
AF20D,24,90,-,-,-,-,41,00,39,00,24,90,6.851,16,0,00 %
AL36,2.960,41,-,-,-,-,0,00,0,00,2.960,41,0,00,-17,32 %
